STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480801 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480801 17:00,99999,a, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480806 19:00,15,A, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480808 21:00,53, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480808 22:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480809 17:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480809 18:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480809 19:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480813 19:00,16, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480813 21:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480815 00:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480825 14:00,10, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480825 15:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480825 16:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480825 19:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480825 20:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480825 21:00,41, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480825 22:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480826 00:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480901 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480905 21:00,7, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480905 22:00,15, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480906 18:00,6, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480907 18:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480907 19:00,24, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19480907 20:00,9, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481001 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481005 16:00,17, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481005 17:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481005 19:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481005 20:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481005 23:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481006 00:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481020 13:00,99999,a, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481020 18:00,32,A, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481101 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481117 19:00,99999,a, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481119 00:00,20,A, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481121 01:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481121 03:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481121 04:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481121 05:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481123 04:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481123 05:00,6, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481123 06:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481201 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481204 23:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481205 00:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481205 01:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481223 02:00,99999,a, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481224 11:00,10,A, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481228 08:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481228 09:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481228 10:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481228 11:00,3, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481228 12:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481228 13:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19481228 14:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490101 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490102 23:00,99999,a, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490104 11:00,5,A, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490109 18:00,99999,a, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490110 06:00,9,A, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490127 09:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490127 10:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490127 11:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490127 12:00,4, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490201 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490214 02:00,2, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490301 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490321 03:00,5, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490321 04:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490321 07:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490325 15:00,99999,a, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490326 08:00,35,A, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490329 18:00,99999,a, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490330 08:00,50,A, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490401 01:00,0,g, 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490401 23:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490402 00:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490402 01:00,1, , 
COOP:050304,ARAPAHOE CO US,1222.9,38.85,-102.18333,19490402 02:00,1, , 
